TIME TABLE FOR Fall 2020 SEMESTER [Computer Science Department] <V1.1>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,Human Computer Interaction (BCS-7E),,,,,,,,,Fund. of Computer Vision (BCS-7A),,,,,,,,,Design & Analysis of Algo (BCS-5F),,,,,,,,,Fund. of Computer Vision (BCS-7B),,,,,,,,,Discrete Structures (BCS-3J),,,,,,,,,Discrete Structures (BCS-3E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,,Software Engineering (BCS-7C),,,,,,,,,Theory of Automata (BCS-7C),,,,,,,,,Theory of Automata (BCS-7B),,,,,,,,,Professional Issues in IT (BCS-9A),,,,,,,,,Linear Algebra (BCS-3A),,,,,,,,,Psychology (BCS-3J),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,,,,,,,,,,,Database Systems (BCS-5D),,,,,,,,,Database Systems (BCS-5E),,,,,,,,,Numerical Computing (BCS-5E),,,,,,,,,Compiler Construction (BCS-7A),,,,,,,,,Database Systems (BCS-5F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,,Programming Fundamentals (BCS-1G),,,,,,,,,Programming Fundamentals (BCS-1H),,,,,,,,,Programming Fundamentals (BDS-1A),,,,,,,,,Probability & Statistics (BCS-5D),,,,,,,,,Numerical Computing (BCS-5F),,,,,,,,,Numerical Computing (BCS-5D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,,Programming Fundamentals (BCS-1C),,,,,,,,,Programming Fundamentals (BSE-1A),,,,,,,,,Programming Fundamentals (BSE-1B),,,,,,,,,Psychology (BCS-3K),,,,,,,,,Tech. & Business Writing (BCS-5D),,,,,,,,,Tech. & Business Writing (BCS-5E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,,,,,,,,,,Programming Fundamentals (BCS-1A),,,,,,,,,Programming Fundamentals (BCS-1B),,,,,,,,,Marketing Management (BCS-3F),,,,,,,,,Marketing Management (BCS-3E),,,,,,,,,Discrete Structures (BCS-3B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,,Tech. & Business Writing (BCS-5C),,,,,,,,,Programming Fundamentals (BCS-1D),,,,,,,,,Programming Fundamentals (BCS-1E),,,,,,,,,Programming Fundamentals (BCS-1F),,,,,,,,,Computer Architecture (BCS-7E),,,,,,,,,Obj. Ori. Analysis & Design (BCS-7E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,,Theory of Automata (BCS-5B),,,,,,,,,Theory of Automata (BCS-5A),,,,,,,,,Computer Architecture (BCS-7A),,,,,,,,,Ad. Analysis of Algorithms (MCS-3A),,,,,,,,,Computer Architecture (BCS-7B),,,,,,,,,Software Testing (BCS-7A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-1,,,,,Computer Networks (BCS-5A),,,,,,,,,Computer Networks (BCS-5B),,,,,,,,,Computer Architecture (BCS-7C),,,,,,,,,,,,,,,,,,Computer Architecture (BCS-7D),,,,,,,,,Probability and Statistics (BCS-7F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,,Computer Networks (BCS-5D),,,,,,,,,Computer Networks (BCS-5C),,,,,,,,,Design & Analysis of Algo (BCS-5D),,,,,,,,,,,,,,,,,,Design & Analysis of Algo (BCS-5E),,,,,,,,,Applied Physics (BCS-1H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
